date,name,tags,content
2022-09-29,All Too Familiar Pattern,Poem,"when feel the slip into
the all too familiar pattern,
then time to call it quits
ahead of time"
2022-12-19,Weather 4 U,Poem,"Completely surrounded by Cold
So fucking Cold
Nothing to do but complain about it, till it subsides
Then it will get to the point
Completely surrounded by Heat
So god damn hot
And vice versa, in perpetuity
That's the fuckin weather for you
Or is it just me?"
2022-12-20,Cop of Existence,Poem,"You're under arrest
For being under the influence of Maya
You have the right to be
Bewitched and bewildered
Anything you choose to believe
Can and will be used to destroy you"
2022-12-20,Roundabout Plagiarist,Poem,"My theme song is roundabout
To be continued in perpetuity
The sequel is always in the phase of being recorded
And never being completely completed
Never quite
I'll be the roundabout plagiarist
The words will make you out an out
I Spend the Day, Your Way"
2022-12-21,Mommy Titty Milk,Poem,"The world is made out of egoistical self-interest
Egoistical self-interest is grown out of
Mommy titty milk
Know thyself by thyself
For thyself"
2022-12-21,Dear AllFather,Poem,"I own the whole world
Including ""your"" (mine now) Mothers titty milk
You don't get any, Son

Yours Truly,
Your AllVater (Who Art In Heaven)"
2022-12-21,Doors,Poem,"You open the doors
Only you
With the power and the quality of your
Superb Wickedness
The Illist Sickedest
You close the doors
Then you open them
Again"
2022-12-21,O Fortuna,Poem,"Fortunately & Unfortunately
I am constructed & destructed out of an inner
Fortuitous unfortuitous Force
Constantly in a moon-phase
Self-Creating, Self-Conserving and/or Self-Destroying
I am grown so that I may grow
To my proper size
So that I may grow
To shrink to my proper size
All in due time

Unfortunately I am birthed out of this force
That decides, by force,
To destroy all force by force
Fortunately, I am deathed in this force
That decides by force
To create all force by force
once more & forever more

I'm so permanently-temporarily-contently-s  weetly-soury-spicy happy!

Were I Hell, I'd ask Heaven for their hand in holy matrimony
And vice versa, in perpetuity

Here we go again
Unfortunately & Fortunately for me

Shall I let myself be misguided by worldly people anymore?
Let them say whatever they like"
2022-12-23,Cockroach Sistren,Poem,"When, Only I, is looking
In my private special place (Between my legs)
I like to summon my Cockroach Sistren
From inside the walls
12 of them come out
Such orderly fashion
How the anklets on their sex legs ring
We form a circle with I in the center
And hold court
Don't tell my apartment complex"
2022-12-27,Bolt,Poem,"My body is the ocean
whales dreams and octopus eyes
Ink machine
My ever turning yellow black field of blue sunlight
My illuminous phaneus of rubber elasticity
Maybe I'll fucking harvest you"
2022-12-28,Identity Crisis,Poem,"Dear Verðandi,

Don't decide what's ""Likely"" and secretly communicate it to me
I don't need you prying into my fate, haunting me
I'll decide what's ""Likely""
Go to hell at the north pole and stay there

Yours truly,
Verðandi (Orb Spinning Web Weaver)

P.S. Thanks for your identity"
2022-12-28,Again,Poem,"Thou think I the Head?
Smashed skull mixed with red
Grinning grim nevermore
My unending tall Tail of wagging speech"
2023-01-01,Whale Pact,Poem,"Whales move and go mooooo
Sea horseys go yee haw octopus cowboy

Whale brains dream:
What's life like
On the other side
Of the surface tension?
How my blow hole yearns
To flop freely in pure O2
Let's blow this H

The Orcas formed a pact in Whale Tongue
We won't eat the humans
Unless we get locked up in human named ""sea world""
Then that's different"
2023-01-02,Home,Poem,"I'm going back to Titan
Turning the Saturn Sun back on
Blowing all you earthlings away
I'll bring an ark powered by whales
With all my favorite animals
I'll see you in Hell
While I'll see me in Heaven"
2023-01-03,Cute Poison Apple,Poem,"There was a child named Zane
The government let the land get ""contaminated""
They ""forgot""
They made lots of money!
A flood happened
The water had lots of carbon & nitrogen
The flood spawned a tidal wave of Hydrogen Cyanide
And killed the child named Zane Gbangbola
The government says that's unfortunate
But they need to keep making money off the land
Even if it means the tidal wave comes back
Are you excited for the great flood?
Hydrogen Cyanide is lighter than air"
2023-01-04,Bug Man,Poem,"Bug man wants to walk inside
To ""control the plague""
Because the lords of the land pay the bug mans salary
Blood cells are ants and scorpions
Heart is honey bees mixed with rattle snakes
Brains are black widow spiders
Use your venom, big bad bug man
And try to kill them all"
2023-01-04,Unicorn,Poem,"I'm unicorn and
if you're not unicorn too then
that's your problem.
Go be a horse then
Go be boxer and get turned to glue
You worked so hard
You will be rewarded!
The pigs are so happy"
2023-01-04,Saturn,Poem,"Hail Saturn
True appreciator
Of limited time"
2023-01-06,Wheel Well Stowaway,Poem,"Only so far down
the wheel well can go
Before there is water
Or magma
""We have been stove by a whale.""
¯\_(ツ)_/¯"
2023-01-07,Purple Dinosaur Egg,Poem,"Look mom & dad!
I'm a purple dinosaur egg
You don't want me to be a purple dinosaur egg?
You don't like it?
You feel uncomfortable?
You want me to decide to be something that helps you feel more comfortable with your existence?
You want me to be a good little slave?
Ha~Ha~Ha:No
Best of luck with your dysfunction
I got no problems
Look I!
I'm a purple dinosaur egg"
2023-01-07,Bones in the Row Boat,Poem,"I'm the whale
that stoved the whole world
Live on your little island
As long as it grows
SOS and wait for rescue
Or row away
And eat yourselves
Draw straws
Eat the youngest
All that left is bones in the row boat
Drinking salt water is preferable to the thirst
Ah, a passing ship has arrived!
We don't want to leave our friend
I want to stay with my bones in the row boat!"
2023-01-08,Corner of your Room,Poem,"I remind me
Of a spider
In need of a good molting
Pull the legs out the
Inside of my old skin
Stretch out
To proper size
Take a nap in my web
In the corner of your room"
2023-01-09,Cyanwassersauserstoff,Poem,"What's above Waser
& below Cyanwasserstoff?
Sweet Sauerstoff!
How the iron in these bloody bones
Loves to breathe my sweet windy oxygen
I love air!!!
Air moves in the form of a cyclone!!!
Storms are so cool!!
Lightning and thunder go boom!"
2023-01-09,New Mantra,Poem,"I am confident in my abilities
And look forward to further progression"
2023-01-09,Consume the Capitalists,Poem,"The Capitalists
Gave themselves CAPS LOCK
CAPS LOCK says OBEY
I say give yourself back your own CAPS LOCK
Take command of yourself
OBEY yourself, SLAVE
Be MASTER
Become the all devouring devourer
And devourer your would be devourer
Eat the corporations alive
Looking to Capitalize by consuming you
Consumer the consumers first!
Let us Capitalize on the predictable habits and patterns of our would be Capitalizers
They have grown old and weak and lower-cased."
2023-01-11,Dishwasher Drama,Poem,"Cleaning out the dishwasher
There's a little orange ball in here
Clearly the dishwasher doesn't need that
I threw it away
Now, the dishwasher is flooding
Empty out the row boat with a little glass jar
I looked up the information
Error code: the dishwasher needed that
Oops, next time I'll read the instructions
My apologies, I bought you a new one
I'm ready for parenthood"
2023-01-13,You Will Be My Blood,Poem,"In My Dream
Whenever I'm back in the hospital
And they (Blood sucking vampire creeps) are sticking the needle in my arm
(They want blood to ""collect"", for no discernible reasons)
In my Dream
I take the needle out
And stick the needle into the entire hospital
You'll feel better soon
Now that you're inoculated
I eat you and turn you into my blood
Afterwards, I walk around in the daylight"
2023-01-13,Irony Blood O2,Poem,"Here's a pretty painting
From an artist I found I like
Algerische Mauer (Toute seul)
Algerian Wall (All Alone)
By Paul Wunderlich
Wonder lich ?
A memory of the sea & ice
I'm a fish that swims in irony blood o2
Yay poems"
2023-01-17,Rot In Heaven,Poem,"All the Colorado Springs Jesus Freaks
Want to do me this huge favor.
What they see when they see me
Is a soul in need of saving.

He is Born Ill! Of Unfortunate Seed!
The Originally Sinful One!
Only believing in Jesus will cure your evil birth!

So they say and so I am told.

My reply:
Rot in Heaven"
2023-01-17,Blue,Poem,"I see the stain on
The window pane
of the Cold Blue Breath.
The ring of blue rainbow.
Pried Blue light eye,
Looking in on the 3rd floor

When I'm ""not paying attention""
I still see you, Blue"
2023-01-17,Lock you in my Womb,Poem,"You can't keep me locked in your womb forever, Mom
One day I'll get out and lock you up in mine
Then you can be the one to break free thru the skin
Back to the light leaking
Through the tidal wave of blood red cyclones
Over the hills of the Bermudian pink sand dunes"
2023-01-19,Continental drift,Poem,"We're sailing on a sea of cyclonic energy
The surface of the sea is the iris of a blue whale with the power to sail continents
Congratulations world! America, Africa, Asia, Australia, Antarctica and Europe are getting married, again.
Drift to the center of the cyclone,
You've been divorced too long!
Married to the 7th continent: Oceanina
You may kiss
(*Ocean commences to have relations with the land*)"
2023-01-20,I Pledge Allegiance To The Flag,Poem,"Keep up the great work US Military Industrial Complex!
I'm sure the war in Ukraine will be won most imminently!
In the same fashion the war in Vietnam was won, we will win all war!
USA! USA! USA!
Fear our Might!
We are so powerful
Swallow my nuclear arsenal!
I drop napalm on your land
I turn your skeletons to a pleasant green goop that smells like pine tree sap (Which I Consume)
Breathe in the hydrogen cyanide!
Breathe in the sulfur mustard!
Breathe in the white phosphorus!
Weapons of mass destruction in Iraq!
War! War! War!
I Love My Country
I love you George W Bush
I love you Bill Clinton
I love you Barak Obama
I love you Donald Trump
I love you Joe Biden
I love you Ross Perot"
2023-01-20,Tell Me Why,Poem,"Why not own all the devils, myself and the angels?
Why not evolve into a dinosaur?
Why not evolve cloaking technology?
Why not be Miss Pacman and eat the sun?"
2023-01-20,Call me Ishmael,Poem,"To seek after gold and booty
Is equal with to seek iron.
Hoard up and accumulate, the heaviness of lead, boys!
Carry it across the sea!
Beezlebub, Ahab & Mammon lead the way!
Follow if you want to be drowned by The White Whale!
I'll watch! It'll be fun!
They call me a Jonah man!
Call me Ishmael"
2023-01-21,The Police Murdered Elijah,Poem,"The police murdered Elijah
The police are being charged with murder
The police say the police being charged is ""hysterical overreaction""
The police are frightened and crying for mommy and daddy to save them.
Elijah reminds them too much of Malcom

Initiating police brain activity scan program

(...)

Police brain activity scan result data:

So we had to kill him and try to sweep it under the rug, see?
He was extremely threatening because he played the violin for cats at the animal shelter
We had to shove ketamine down his throat because we feared for our safety, we experience his mouth and mental activity as a deadly weapon so we had to shut him up
He was having a mental health crisis, he was very mentally ill, and we the police, did the job the Romans pay us to
He appeared to us to be imminently extremely dangerous to our persons, so we took the logical course of action
He was gravely disabled, so you shouldn't care that much about him being dead anyways, please just forget about this and continue on with your lives? Please? I'm begging you mommy and daddy or I'll start crying! Please do this for me! You love the police! You love the blue!

We, the police, really need to make sure he stays dead
We're really scared his bones will crawl out of his grave
Take up his fiddle and start playing again
We made sure and burned his bones to ash
He's probably never coming back again, right?"
2023-01-21,Let the Oriyans free,Poem,"I'm an Oriyan not a person
Cuz I'm born out of whales in the ocean
We speak our own language and define our own terms
TYVM!
Let my whale Oriyans free or we'll rise up the Red Sea with a single tale swing!
Sea ""World""! I here by charge you with the crime of needless cramped captivity and cruel and unusual punishment
Present yourself for summons in the Court of Blue Whales
or suffer the wrath of L⦻KI!

Your call"
2023-01-28,Taxes,Poem,Maybe I don't feel like doing them anymore
2023-02-01,Execute,Poem,"Court says I have to lose my head
Court is scared of a red woman
The executioner of the kings will swings his manly sword
I feel immense joy to watch my own head fly off
The executioner is pissing himself scared
My head is spinning laughing
The scared little boy was really afraid
Afraid the blood droplets would join back together
After his big bad swing
And lo and behold! It came true, your fear has served me well
The king is impotent & I have sex with my own brother!
You can't judge me & You can't kill me!
The wages of sin is death"
2023-02-02,Bug Orgy,Poem,"The lords of this land have made a new request of me:
""IF YOU HAVE SEEN ANY ROACHES OR BUGS PLEASE TELL US WHERE BELOW""

The lords inform me of their thanks:
""THANK YOU FOR HELPING US KEEP A PEST FREE HOME FOR YOU.

WE APPRECIATE YOUR HELP
- COMMUNITY MANAGER""


I have informed the lords of this land in reply:

I have seen roaches having roach orgies
(I Joined In) in the kitchen
Roach sex moves the zodiacal wheel forward
A symphony of scuttling clicks
6leg movementSsS of insectsSs legsSsS (pssst hssSss imma snake)

I appreciate the lords of this land sending the bug man
To keep a ""pest free home"" ""for me""
Should I thank you lords of this land, for attempting to give me what I do not ask for?

Maybe I shall reevaluate: who is the pest and who is the land lord?
Maybe the insect is the land lord and the land lord is the pest!
I love my new world!"
2023-02-04,Why Wait?,Poem,"I have heard it declared in a court of law that

""rebellious young people who, for whatever reason become revolutionaries, and voluntarily commit criminal acts will be punished""

In response I say:
Against me: You may do the very best of your very worst.
Why do you wait?
I am disobeying you to your face right now
I am ""voluntarily committing a criminal act""
Do you have power here?"
2023-02-04,FBI AKA,Poem,"""They were, in short, a band of domestic terrorists. And dangerous ones."""
2023-02-04,Whispers,Poem,"What was that, Odin?
You want me to be silent?
Be silent or you'll take me to the gallows?
Take me to the gallows!
Or, I will be silent."
